Name,Datum,Spieldauer,Schwierigkeitsgrad,Typ,Altersempfehlung,Glücksfaktor,Rating
Gloomhaven,2022-03-25,mittel,5,Kooperativ,6+,kein Glück,5
Hinter dem Wasserfall,2023-11-29,mittel,3,Kooperativ,10+,hoch,2
Wolkenschieber,2025-01-28,mittel,1,Familie,6+,gering,2
Everdell,2025-04-10,mittel,2,Strategie,16+,hoch,3
The Mind,2024-03-26,lang,3,Party,6+,sehr hoch,3
Lichtfänger,2025-03-31,lang,1,Kooperativ,12+,gering,4
Project L,2025-01-29,kurz,5,Strategie,16+,hoch,3
Tollhaus Taktik,2023-07-22,kurz,2,Party,10+,mittel,4
Ritter der Regenzeit,2022-01-07,mittel,3,Familie,6+,gering,2
Karak,2024-03-12,mittel,2,Kinder,6+,gering,3
Wimmelwald,2024-08-12,lang,3,Familie,10+,kein Glück,4
Dixit,2023-03-19,kurz,3,Familie,10+,mittel,4
Terraforming Mars,2023-03-08,kurz,2,Strategie,16+,kein Glück,3
My City,2023-11-24,kurz,1,Familie,6+,gering,5
Planet Unknown,2024-10-02,mittel,2,Strategie,16+,sehr hoch,5
Geisterpost,2024-11-18,mittel,1,Familie,6+,kein Glück,4
Ticket to Ride: Europe,2024-02-11,mittel,3,Familie,6+,gering,4
Dixit,2024-12-05,lang,2,Familie,6+,kein Glück,4
Splendor,2024-06-22,lang,1,Familie,10+,mittel,4
Wimmelwald,2024-08-22,lang,2,Familie,10+,hoch,5
Pizzadiplomaten,2025-06-24,lang,3,Party,10+,gering,3
Pixhagen: Das Spiel,2024-09-22,lang,4,Strategie,12+,kein Glück,4
Obsthain,2024-08-22,mittel,1,Kinder,6+,kein Glück,1
Root,2024-03-18,mittel,2,Strategie,16+,sehr hoch,4
The Castles of Burgundy,2024-08-18,lang,1,Strategie,12+,mittel,3
Magnetmönche,2024-07-05,mittel,2,Kooperativ,10+,mittel,2
Die Farben von Fjorin,2022-06-11,kurz,2,Strategie,12+,hoch,5
Nebelschach,2025-06-12,lang,3,Strategie,16+,sehr hoch,4
The Castles of Burgundy,2024-06-30,kurz,4,Strategie,16+,kein Glück,4
Wonders Duel,2022-09-08,mittel,5,Strategie,12+,gering,4
Res Arcana,2023-05-25,kurz,5,Strategie,12+,gering,3
Calico,2024-08-18,mittel,3,Familie,10+,mittel,2
Zug um Zug,2023-11-01,mittel,1,Familie,6+,hoch,4
Planet Würfelstein,2025-07-10,l,5,Strategie,16+,kein Glück,2
Pixhagen: Das Spiel,2024-10-02,m,5,Strategie,12+,kein Glück,4
Kaktuskarneval,2023-09-16,lang,1,Party,16+,hoch,3
Dimension Delta,2021-12-01,kurz,5,Kooperativ,6+,mittel,3
Pixhagen: Das Spiel,2023-10-12,mittel,5,Strategie,12+,mittel,5
Everdell,2024-12-28,lang,1,Strategie,16+,gering,4
T.I.M.E Stories,2022-07-17,lang,1,Kooperativ,6+,mittel,2
The Castles of Burgundy,2024-10-02,lang,1,Strategie,12+,kein Glück,4
Puerto Rico,2025-03-29,m,1,Strategie,12+,hoch,5
Pixhagen: Das Spiel,2023-09-07,lang,1,Strategie,12+,mittel,2
Ziegenroulette,2024-05-18,lang,2,Kinder,6+,gering,1
Planet Würfelstein,2024-03-08,kurz,1,Strategie,16+,hoch,4
Wimmelwald,2024-05-13,kurz,2,Familie,10+,hoch,2
Wurzelwerk,2024-03-16,m,4,Strategie,12+,kein Glück,3
Kemet,2025-03-26,lang,4,Strategie,12+,hoch,2
Draftosaurus,2025-01-06,lang,1,Familie,10+,hoch,2
Pixhagen: Das Spiel,2023-10-25,kurz,5,Strategie,12+,sehr hoch,2
Trommelwirbel,2024-09-16,lang,2,,10+,sehr hoch,2
Die Rückkehr der Kartoffelkönigin,2023-08-24,lang,1,Familie,6+,kein Glück,4
Kemet,2024-06-17,lang,1,Strategie,12+,sehr hoch,2
Zug um Zug,2025-05-26,mittel,2,Familie,6+,hoch,1
Wurzelwerk,2024-02-27,mittel,3,Strategie,12+,gering,4
Wolkenschieber,2025-03-14,mittel,2,Familie,6+,sehr hoch,1
Mysterium,2023-02-24,lang,4,Kooperativ,16+,mittel,3
Catan,2025-03-07,mittel,2,Strategie,16+,gering,4
Hinter dem Wasserfall,2024-07-25,mittel,3,Kooperativ,16+,gering,2
Dominion,2023-12-14,mittel,1,Strategie,12+,gering,4
Unlock!,2020-10-30,lang,1,Kooperativ,10+,mittel,5
Living Forest,2023-10-10,mittel,4,Strategie,12+,kein Glück,4
The Mind,2024-09-14,kurz,1,Party,12+,gering,3
Wimmelwald,2022-08-17,mittel,3,Familie,6+,gering,4
Agricola,2024-04-15,mittel,5,Strategie,16+,kein Glück,4
Pixhagen: Das Spiel,2023-10-05,kurz,3,Strategie,12+,sehr hoch,3
Tapestry,2023-10-21,mittel,3,Strategie,12+,sehr hoch,4
Camel Up,2025-01-22,mittel,1,Familie,10+,mittel,2
Planet Würfelstein,2025-04-22,mittel,5,Strategie,16+,mittel,4
Wonders Duel,2023-06-05,mittel,2,Strategie,12+,mittel,4
Flügelschlag,2025-02-02,mittel,1,Familie,6+,hoch,4
Die vierte Fabel,2022-11-28,kurz,5,Kooperativ,16+,sehr hoch,3
Die Rückkehr der Kartoffelkönigin,2022-01-27,kurz,1,Familie,6+,kein Glück,4
Catan,2022-12-08,kurz,5,Strategie,16+,kein Glück,3
Wimmelwald,2025-05-06,k,3,Familie,6+,hoch,3
Wingspan Asia,2025-06-23,mittel,1,Familie,6+,sehr hoch,1
Hadara,2024-01-15,mittel,5,Strategie,12+,sehr hoch,4
Great Western Trail,2023-08-17,lang,2,Strategie,12+,kein Glück,4
Living Forest,2025-05-16,mittel,1,Strategie,16+,hoch,3
Die Drachen von Morag,2023-10-12,mittel,1,Kooperativ,16+,mittel,3
Pandemic,2022-11-09,lang,1,Kooperativ,10+,hoch,4
Ticket to Ride: Europe,2024-01-31,mittel,1,Familie,10+,hoch,4
Flügelschlag,2024-09-16,kurz,1,Familie,10+,mittel,5
Pandemic,2024-05-28,kurz,2,Kooperativ,12+,sehr hoch,4
Res Arcana,2022-11-19,mittel,3,Strategie,12+,hoch,5
Great Western Trail,2025-07-29,lang,1,Strategie,16+,kein Glück,4
The Mind,2025-03-14,lang,4,Party,12+,kein Glück,2
Pixhagen: Das Spiel,2025-01-25,lang,1,Strategie,12+,mittel,5
Nemesis,2022-09-09,lang,1,Kooperativ,10+,sehr hoch,4
Pizzadiplomaten,2024-12-04,mittel,4,Party,12+,hoch,2
Zug um Zug,2023-11-15,mittel,1,Familie,6+,sehr hoch,5
Exit: Das Spiel,2024-05-29,kurz,1,Kooperativ,10+,gering,1
Great Western Trail,2024-11-03,kurz,5,Strategie,12+,mittel,2
Parks,2024-08-19,mittel,2,Familie,6+,mittel,4
Stadt der flüsternden Uhren,2025-05-30,lang,2,Strategie,12+,sehr hoch,5
Funkenschwinge,2024-02-14,kurz,4,Strategie,12+,gering,3
Railroad Ink,2022-10-24,mittel,3,Familie,10+,hoch,2
Ticket to Ride: Europe,2023-07-08,kurz,3,Familie,10+,gering,5
Zauberkessel & Zimt,2024-09-12,mittel,3,Familie,10+,kein Glück,2
Pixhagen: Das Spiel,2024-01-30,lang,3,Strategie,16+,hoch,3
Nebelschach,2023-05-09,mittel,2,Strategie,16+,sehr hoch,3
Tiny Towns,2023-11-25,kurz,3,Familie,10+,hoch,3
Pixhagen: Das Spiel,2023-07-29,lang,5,Strategie,12+,mittel,2
T.I.M.E Stories,2023-11-05,mittel,3,Kooperativ,6+,hoch,3
Pandemic,2024-05-05,kurz,1,Kooperativ,6+,mittel,3
Turbokekse,2024-10-03,lang,2,Kinder,6+,gering,5
Pixhagen: Das Spiel,2023-03-14,mittel,3,Strategie,12+,mittel,3
Clank!,2025-07-29,mittel,5,Strategie,12+,mittel,4
Wächter von Windhain,2024-06-19,lang,2,Strategie,16+,hoch,5
Tapestry,2024-02-06,mittel,4,Strategie,16+,kein Glück,5
Railroad Ink,2022-12-31,lang,1,Familie,10+,sehr hoch,3
Zug um Zug,2024-05-09,mittel,3,Familie,6+,hoch,4
Railroad Ink,2022-07-15,lang,3,Familie,6+,sehr hoch,2
Turbokekse,2023-08-18,lang,1,Kinder,6+,kein Glück,5
Hinter dem Wasserfall,2024-06-18,mittel,1,Kooperativ,12+,mittel,2
Meadow,2024-02-12,mittel,1,Familie,10+,gering,3
Parks,2024-02-19,lang,3,Familie,6+,gering,1
Wingspan Asia,2024-04-24,mittel,2,Familie,10+,kein Glück,4
Everdell,2021-08-29,mittel,5,Strategie,16+,kein Glück,4
Die Farben von Fjorin,2025-07-13,lang,5,Strategie,12+,sehr hoch,2
Tapestry,2023-08-29,mittel,5,Strategie,16+,kein Glück,2
Mysterium,2025-06-03,kurz,1,Kooperativ,10+,hoch,5
Parks,2024-07-02,kurz,2,Familie,10+,hoch,4
T.I.M.E Stories,2024-06-25,kurz,2,Kooperativ,6+,gering,2
Splendor,2025-06-08,lang,1,Familie,10+,mittel,2
The Mind,2025-07-11,kurz,1,Party,16+,kein Glück,5
Wurzelwerk,2025-04-18,lang,1,Strategie,12+,sehr hoch,2
Insel der Irrlichter,2025-06-18,mittel,3,Kooperativ,12+,gering,2
T.I.M.E Stories,2024-11-13,kurz,5,Kooperativ,12+,sehr hoch,4
Unlock!,2025-04-25,lang,3,Kooperativ,12+,gering,4
Catan,2022-03-20,mittel,2,Strategie,16+,hoch,4
Mysterium,2021-02-17,kurz,3,Kooperativ,6+,sehr hoch,3
Carcassonne,2024-05-24,k,2,Familie,6+,kein Glück,4
Pixhagen: Das Spiel,2024-06-26,l,1,Strategie,12+,gering,4
Planet Würfelstein,2025-01-08,lang,4,Strategie,16+,gering,3
Kartonopolis,2024-03-31,lang,2,Strategie,12+,gering,4
Puerto Rico,2022-02-15,kurz,3,Strategie,12+,gering,3
Burgenschlacht 3000,2022-03-15,kurz,4,Strategie,12+,kein Glück,3
Lichtfänger,2024-02-01,mittel,2,Kooperativ,10+,kein Glück,4
Lichtfänger,2022-12-29,mittel,5,Kooperativ,16+,gering,5
Unlock!,2021-07-11,kurz,3,Kooperativ,16+,gering,3
Meadow,2025-04-21,mittel,2,Familie,6+,kein Glück,3
Burgenschlacht 3000,2024-04-11,kurz,4,Strategie,16+,kein Glück,1
Cartographers,2025-02-07,kurz,1,Strategie,16+,hoch,4
Red Cathedral,2025-01-26,lang,5,Strategie,16+,mittel,2
Kemet,2023-07-04,m,5,Strategie,16+,sehr hoch,4
Living Forest,2025-07-06,kurz,4,Strategie,12+,mittel,3
Die vierte Fabel,2024-09-19,lang,4,Kooperativ,16+,mittel,2
Gezeitenkinder,2023-11-07,mittel,5,Kooperativ,16+,gering,2
Lachlabor,2024-02-26,lang,1,Kinder,6+,kein Glück,3
The Mind,2025-02-01,kurz,2,Party,12+,sehr hoch,5
Keksdiplomatie,2024-05-22,kurz,4,Party,12+,hoch,4
Dominion,2023-09-25,lang,1,Strategie,12+,sehr hoch,3
Tiny Towns,2023-12-05,lang,3,Familie,6+,kein Glück,5
Root,2024-04-08,lang,2,Strategie,12+,mittel,4
Kaktuskarneval,2025-04-09,lang,3,Party,6+,mittel,5
Dominion,2023-07-17,lang,5,Strategie,12+,kein Glück,4
Honigkrieg,2024-09-17,lang,1,Familie,10+,hoch,5
Mysterium,2024-03-25,lang,2,Kooperativ,12+,hoch,2
Wächter von Windhain,2025-07-30,kurz,3,Strategie,16+,hoch,2
Burgenschlacht 3000,2025-02-27,kurz,3,Strategie,12+,gering,2
Nemesis: Lockdown,2024-11-10,kurz,2,Kooperativ,6+,mittel,4
Gezeitenkinder,2021-09-15,lang,3,Kooperativ,6+,sehr hoch,3
Clank!,2023-10-11,kurz,4,Strategie,16+,mittel,3
Red Cathedral,2024-10-21,lang,3,Strategie,12+,kein Glück,2
Monsterbüro,2024-03-21,kurz,4,Party,10+,gering,4
Hanabi,2024-09-24,kurz,5,Kooperativ,10+,gering,3
Die Rückkehr der Kartoffelkönigin,2024-09-15,mittel,1,Familie,6+,mittel,2
Railroad Ink,2025-07-27,lang,3,Familie,10+,kein Glück,5
Zauberkessel & Zimt,2023-07-20,lang,2,Familie,10+,sehr hoch,3
Quacksalber von Quedlinburg,2024-12-18,mittel,2,Strategie,12+,hoch,5
König Knatterbart,2021-11-29,lang,1,Kinder,6+,kein Glück,5
Keksdiplomatie,2021-09-30,mittel,2,Party,12+,gering,3
Lichtfänger,2025-01-28,m,1,Kooperativ,16+,kein Glück,4
Wingspan Asia,2024-07-02,lang,1,Familie,6+,hoch,2
Mindbug,2024-10-09,lang,3,,12+,mittel,4
Pixhagen: Das Spiel,2025-05-16,mittel,2,Strategie,16+,hoch,4
Living Forest,2025-05-29,lang,5,Strategie,12+,hoch,2
Arche Nova,2023-04-18,kurz,5,Strategie,12+,gering,3
Geisterpost,2025-04-08,lang,1,Familie,6+,kein Glück,4
Nemesis: Lockdown,2021-07-05,kurz,3,Kooperativ,12+,sehr hoch,5
Wolkenschieber,2025-02-18,kurz,3,Familie,10+,gering,4
Chronicles of Crime,2025-04-16,mittel,3,Kooperativ,16+,sehr hoch,2
Project L,2025-06-17,kurz,5,Strategie,16+,hoch,4
Heat: Pedal to the Metal,2025-03-06,mittel,1,Familie,6+,mittel,3
Die Farben von Fjorin,2024-11-28,kurz,4,Strategie,16+,sehr hoch,4
Kaktuskarneval,2025-04-17,lang,2,Party,16+,gering,4
Everdell,2024-12-23,kurz,2,Strategie,12+,kein Glück,4
Dixit,2023-11-10,mittel,1,,6+,hoch,4
Red Cathedral,2022-08-17,mittel,2,Strategie,16+,kein Glück,2
Railroad Ink,2023-11-30,mittel,3,Familie,6+,gering,5
Klapperknochen-Kapitäne,2023-02-02,mittel,1,Kinder,6+,sehr hoch,3
Kartonopolis,2024-08-07,mittel,1,Strategie,12+,kein Glück,3
Clank!,2024-04-02,kurz,2,Strategie,16+,mittel,4
Great Western Trail,2025-06-28,kurz,5,Strategie,16+,sehr hoch,3
Codenames,2024-05-13,l,2,Party,10+,sehr hoch,4
Nemesis: Lockdown,2025-05-02,kurz,3,Kooperativ,12+,gering,2
Die Crew,2020-07-02,mittel,5,Kooperativ,6+,kein Glück,2
Insel der Irrlichter,2024-04-18,mittel,5,Kooperativ,12+,kein Glück,4
Stadt der flüsternden Uhren,2025-07-02,lang,1,Strategie,12+,sehr hoch,3
Pixhagen: Das Spiel,2025-02-16,lang,2,Strategie,12+,mittel,3
Res Arcana,2025-07-13,lang,5,Strategie,16+,kein Glück,3
Broom Service,2023-06-25,mittel,2,Familie,6+,sehr hoch,2
Ticket to Ride: Europe,2023-09-14,mittel,1,Familie,6+,kein Glück,1
Lost Ruins of Arnak,2024-08-14,kurz,4,Strategie,12+,hoch,3
Alhambra,2024-11-27,mittel,3,Familie,6+,kein Glück,4
Honigkrieg,2021-11-04,lang,3,Familie,6+,kein Glück,4
Flauschkrieg,2025-01-17,kurz,1,Party,6+,hoch,5
Chronicles of Crime,2025-03-04,lang,5,Kooperativ,16+,kein Glück,3
Gloomhaven,2025-06-27,mittel,4,Kooperativ,10+,mittel,5
Alhambra,2025-07-24,mittel,3,Familie,10+,gering,2
