FID,geom,id,title,description,addresslocality,streetaddress,postalcode,email,openinghours,license,telephone
MRN_Refill_4326_Point.11,POINT (8.498589996480657 49.48232818836455),794c111379aa4d3ea1baa420259ee451,Luisenpark - Stadtpark Mannheim gGmbH,Nicht umsonst zieht der Luisenpark jährlich rund 1.2 Millionen Besucher an und gilt als einer der schönsten Parks Europas. Auf geschwungenen Parkwegen geht es vorbei an sprudelnden Wasserfontänen und blühenden Baum- und Strauchgruppen.,Mannheim,Gartenschauweg,68165,information@stadtpark-mannheim.de,,CC0-1.0,(0621) 4 10 05 0
MRN_Refill_4326_Point.12,POINT (8.611004477651326 49.47249709603959),bdce5a5ead324369a4e1a4c994f65f69,Maggis unverpackt,Unverpacktes in Ladenburg Öffnungszeiten Di;Mi;Do;Sa 9:00-13:00 Di;Do 14:00-18:00 Fr 9:00-18:00,Ladenburg,Hauptstrasse 47,68526,info@maggis-unverpackt-ladenburg.de,,CC0-1.0,
MRN_Refill_4326_Point.13,POINT (8.4639841357544 49.48567730350684),63609335ee274970acdf669cd927088c,basic Bio-Supermarkt,Gut sortierter Bio-Supermarkt mit Bäckerei/Café. Brot von Lummerland,Mannheim,Kurpfalzstraße 3-5,68161,info@basic-ag.de,,CC0-1.0,
MRN_Refill_4326_Point.14,POINT (8.469509737784746 49.48989159869491),a799d0a413a843d59bed4ae53af333f8,Weltladen Mannheim,Gute Produkte aus der ganzen Welt,Mannheim,S2 3  ,68161,info@weltladen-mannheim.de,Mo 10:00-18:00 Di-Sa 11:00-15:00,CC0-1.0,+49 621 26064
MRN_Refill_4326_Point.15,POINT (8.362558832560927 49.6329110067491),dce0bf8938a041e0974106c3ea40d6f8,Stadtverwaltung Abt. Umweltschutz & Landwirtschaft,Stadtverwaltung mit Umweltschutz-Engagement,Worms,Ludwigsplatz 5,67547,Martin.Hassel@worms.de,Mo-Fr 8:00-12:00 Do 14:00-16:00,CC0-1.0,(0 62 41) 8 53 - 35 07
MRN_Refill_4326_Point.16,POINT (8.416448099732607 49.333132197769885),95986c9e1ee84505a350678073e9eaa9,Küche & Co,Öffnungszeiten Mo-Fr 10:00-19:00 Sa 10:00-16:00,Speyer,Iggelheimer Straße 17,67346,,,CC0-1.0,
MRN_Refill_4326_Point.17,POINT (8.706329096437585 49.38138170138997),ef970b18f0be433fb0bdf69070f12f6b,Trinkwasserstelle Forstquelle,Öffnungszeiten: immer geöffnet,Heidelberg,Zur Forstquelle 0,69126,,,CC0-1.0,
MRN_Refill_4326_Point.18,POINT (8.44833277559296 49.37187909585045),70daec91d3e04014a5782f73dd8f5c83,Bleuwater Labor - Bluesales GmbH,Öffnungszeiten 15:00-18:30,Otterstadt,Merowinger Str. 21A,67166,,,CC0-1.0,
MRN_Refill_4326_Point.19,POINT (8.20037017958256 49.53463499412622),d0f386eaacca4df0a235c5cd7b188d55,Weingut WoW by Wolfgang Bender,Öffnungszeiten: immer geöffnet,Bissersheim,Freinsheimer Weg 9,67281,,,CC0-1.0,
MRN_Refill_4326_Point.20,POINT (8.319632256552406 49.610623777662695),b6d16b6f01f04610b652410c17311dd5,!WOW!,Öffnungszeiten Di-Sa 10:00-13:00 Di;Do;Fr 15:00-18:00,Worms,Untere Hauptstraße 82,67551,,,CC0-1.0,
MRN_Refill_4326_Point.21,POINT (8.174482587806175 49.556954912635014),88b41ac832cf4b9abbb5332ec09a914f,Cafè & Konditorei Petticakes,Öffnungszeiten: Do;Fr 13:00-17:00 Sa 10:00-17:00,Grünstadt,Kirchheimer Str. 67,67269,,,CC0-1.0,
MRN_Refill_4326_Point.22,POINT (8.362377615814273 49.63302621600825),cf5672ea9c6043969c1b6fb683b7d978,Kath. Jugendzentrale / Bund dt. kath. Jugend,Öffnungszeiten Di 8:00-12:00 Mi 10:00-12:00 Fr 10:00-14:00,Worms,Martinsgasse 8,67547,,,CC0-1.0,
MRN_Refill_4326_Point.23,POINT (8.215484259750454 49.14651989431424),1ae7cdf8cdca49b6af13b29985217126,Verbandsgemeinde Herxheim,Öffnungszeiten Mo 8:00-18:00 Di 8:00-12:00 Do 8:00-16:00 Fr 8:00-12:00,Herxheim,Obere Hauptstraße 2,76863,,,CC0-1.0,
MRN_Refill_4326_Point.24,POINT (8.566422308127592 49.295536931276104),90b2fe8dfb434389bd44e8885f6ec1e9,Kindertreff Kinderhaus,Öffnungszeiten Mo-Fr 7:30-15:00,Reilingen,Neugasse 46,68799,,,CC0-1.0,
MRN_Refill_4326_Point.25,POINT (8.246813802163496 49.11165075800924),74f0030be438470ebc7075b3df777850,VR Bank Südliche Weinstraße-Wasgau eG,Öffnungszeiten Mo-Fr 9:00-12:00 Mo;Di;Fr 14:00-16:00 Do 14:00-18:00 Wir sind barrierefrei.  ,Hatzenbühl,Luitpoldstraße 148,76770,,,CC0-1.0,
MRN_Refill_4326_Point.26,POINT (8.21513959589188 49.146209596258686),a7aecef973004e688909266bc2f9d658,VR Bank Südliche Weinstraße-Wasgau eG,Öffnungszeiten Mo-Fr 8:30-12:00 Mo;Do 14:00-18:00 Di;Mi;Fr 14:00-16:00  Wir sind barrierefrei.,Herxheim,Obere Hauptstraße 49,76863,,,CC0-1.0,
MRN_Refill_4326_Point.27,POINT (8.35485519299044 49.632933637887675),4392a5cefa7048ffbfce0ba7abf59142,ERGO Versicherungsbüro,Öffnungszeiten Di-Do 9:30-14:00,Worms,Friedrich-Ebert-Straße 1a,67549,,,CC0-1.0,
MRN_Refill_4326_Point.28,POINT (8.73516343009433 49.28224511876807),9cc50b57e9d4402d91606683a7677c69,Gemeinde Dielheim,Öffnungszeiten Mo-Fr 08:00-12:00 Wir sind barrierefrei.  ,Dielheim,Hauptstr. 37,69234,,,CC0-1.0,
MRN_Refill_4326_Point.29,POINT (8.54876473944111 49.3177744975862),eabcfa100de14d608b2d13ebdfc531db,Buchhandlung Gansler,Öffnungszeiten: Mo-Fr 9:00-13:00;14:30-18:00 Sa 9:00-12.30,Hockenheim,Rathausstraße 2,68766,,,CC0-1.0,
MRN_Refill_4326_Point.30,POINT (8.371427472853766 49.386281720076816),0f78fed3c68b4ac1b1b78dddb6ab600c,Stadtverwaltung Schifferstadt,Öffnungszeiten Mo-Fr 8:30-12:00 Do 14:00-18:00,Schifferstadt,Marktplatz 2,67105,,,CC0-1.0,
MRN_Refill_4326_Point.31,POINT (8.446493283122077 49.486291990376216),26bbb2b5926f4872a1d11ab45eb7f251,Bloom's Friseur Zollhof,Normaler Friseur nicht besonders nachhaltig  Mo-Sa 9:00-20:00,Ludwigshafen,Im Zollhof 4,67061,,,CC0-1.0,
MRN_Refill_4326_Point.32,POINT (8.372175725350239 49.61641307436694),6eea4221a2194929a84c113d1856a4ca,Wormser Erlebnisgarten,Öffnungszeiten Mo-Do 8:00-16:00 Fr 8:00-14:00,Worms,Hammelsdamm 105,67547,,,CC0-1.0,
MRN_Refill_4326_Point.33,POINT (8.679189583602914 49.386169947397974),cd8736445b154a918dc14171ff79c719,Boulderhaus Heidelberg,Öffnungszeiten 10:00-23:00,Heidelberg,Im Bosseldorn 25/1,69126,,,CC0-1.0,
MRN_Refill_4326_Point.34,POINT (8.668916723071094 49.551156102470664),028e6cc616914496b20e029fd732e70e,Haus der Optik - Horst Riede GmbH,Öffnungszeiten Mo-Fr 8:30-18:30 Sa 9:30-14:00,Weinheim,Bahnhofstr. 17,69469,,,CC0-1.0,
MRN_Refill_4326_Point.35,POINT (8.666951166776451 49.554162188225504),ed8e64121472496bbd7c74ee1dbbee31,Sport65 Shop & Reisen,Öffnungszeiten Mo-Fr 10:00-13:00;14:00-19:00 Sa 10:00-16:00,Weinheim,Am Hauptbahnhof 8,69469,,,CC0-1.0,
MRN_Refill_4326_Point.36,POINT (8.35710397379338 49.63058599253678),a1f45dd14c8e4dbbbc8aa6ef97b90cb0,EWR-Kundencenter,Öffnungszeiten Mo-Do 8:00-18:00 Fr 8:00-16:00 Sa 10:00-13:00,Worms,Lutherring 5,67547,,,CC0-1.0,
MRN_Refill_4326_Point.37,POINT (8.468313640201611 49.486205782502054),3aa045a37c4b48cb8569a635d7e3050c,Bücher Bender,Buchladen mit kostenlosem Trinkwasser,Mannheim,O4 2,68161,info@buecher-bender.de,,CC0-1.0,
MRN_Refill_4326_Point.38,POINT (8.464058567054597 49.48878719913251),b5a2d3f77e9e4f158e3434000333a026,Café am Rathaus,Refill Station,Mannheim,,,,,CC0-1.0,
MRN_Refill_4326_Point.39,POINT (8.480599582419078 49.4800149926357),c76fbcbc21a44d29a995632dfe6a7ea1,Arte e Gusto,Geschmackvolle und phantastische Produkte die nicht nur eine Funktion sondern auch eine Geschichte haben. Öffnungszeiten Mo-Fr 9:00-19:00 Sa 9:00-14:00,Mannheim,Seckenheimer Straße 27,68165,arteegusto@arteegusto.de,,CC0-1.0,
MRN_Refill_4326_Point.40,POINT (8.463218029804164 49.4867174557814),d6b562e540cc4566afc998066c718589,ALPHA Buchhandlung,Öffnungszeiten Mo-Fr 10:00-18.30 Sa 10:00-15:00,Mannheim,C2 23,68159,Info@Alpha-Mannheim.de,,CC0-1.0,
MRN_Refill_4326_Point.41,POINT (8.516241530196854 49.45249850370572),8150ebee087a46ab8660730e105b2829,Onwerk GmbH,Agentur für individuelle Softwareentwicklung Mo-Fr 9:00-17:00,Mannheim; Deutschland,Krügerstraße 7-11,68219,,,CC0-1.0,
MRN_Refill_4326_Point.42,POINT (8.478156760557628 49.49596810131146),a8f8b14885bc4116b50b7ce2e96e1d83,zweiachtel,Öffnungszeiten Mo-Fr 13:00-19:00 Sa 10:00-16:00,mannheim,Eichendorffstraße 12,68167,,,CC0-1.0,
MRN_Refill_4326_Point.43,POINT (8.360714478586202 49.63097730168653),a88ecbe1387f456ba0fbdf14002d2294,Optik Stahr,Öffnungszeiten Di-Fr 9:30-13:00;14:00-18:00 Sa 9:30-13:00,Worms,Stephansgasse 22,67547,,,CC0-1.0,
MRN_Refill_4326_Point.44,POINT (8.5349149855482 49.39717961912844),b691ed1d8cea44eebf2b765c43893511,Brillen Meyer GmbH,Öffnungszeiten  Mo-Fr 9:00-17:00,Brühl,Mannheimerstr. 27,68782,,,CC0-1.0,
MRN_Refill_4326_Point.45,POINT (8.701174393622752 49.41182410317092),98fdd62fe6d34e86a9b29db7832188b2,Theater- und Spielberatung Baden-Württemberg e.V.,Öffnungszeiten Mo;Mi;Fr 9:00-12:00;14:00-16:00,Heidelberg,Bienenstraße 5,69117,,,CC0-1.0,
MRN_Refill_4326_Point.46,POINT (8.374493573035343 49.38320639980175),349e27c574ce40749e02c7e3814e6bac,Axa Generalvertretung,Unsere Öffnungszeiten  Mo;Di;Do;Fr 09:00-12:00 Mo 15:00-17:00 Di;Fr 15:00-17:00,Schifferstadt,Hauptstraße 31,67105,albert.leibel@axa.de,,CC0-1.0,
MRN_Refill_4326_Point.47,POINT (8.14550400159578 49.285835381264725),b82982f44e6146d0a518d126b3726523,De' Bäcker Becker,Gläserne Backstube mit Café  Bäckerei mi,Edenkoben,Venninger Straße 1,67480,info@de-baecker-becker.de,,CC0-1.0,06323/9884080
MRN_Refill_4326_Point.48,POINT (8.174676796502748 49.23544815705877),29897f2857c24bd08a0fd9656037c372,Weingut Doppler-Hertel,Öffnungszeiten Sa 10:00-16:00,Essingen,Kirchstraße 33,76879,,,CC0-1.0,
MRN_Refill_4326_Point.49,POINT (8.472975738566824 49.482277310212275),feb265fde8434ccaad6ba5f033cc4125,Bloom's Friseur - Kaiserring,Friseurkette nicht besonders nachhaltig  Öffnungszeiten Mo-Do 10:00-20:00 Fr 10:00-21:00 Sa 9:00-19:00,Mannheim,Kaiserring 34,68161,,,CC0-1.0,
MRN_Refill_4326_Point.50,POINT (8.416130593240322 49.418398700383676),1749ad6e37fc45a0903a1407b116ddfd,Haarfrei Leben,Öffnungszeiten: Mo-Sa 10:00-19:00,Neuhofen,Industriestraße 13,67141,,,CC0-1.0,
MRN_Refill_4326_Point.51,POINT (8.711301576677384 49.36728820175272),d6a99e6ab7f744bf990256860244858d,Schweinsbrunnen,Öffnungszeiten: immer geöffnet,Heidelberg,Unterer Neuer Weg 0,69126,,,CC0-1.0,
MRN_Refill_4326_Point.52,POINT (8.429935755408339 49.336213930200884),0bcc626d0ea047be90d52a6040ac764d,Schlör & Faß GmbH,Öffnungszeiten Mo-Fr 7:30-17:00 Sa 9:00-14:00,Speyer,Wormser Landstraße 247,67346,,,CC0-1.0,
MRN_Refill_4326_Point.53,POINT (8.545731580139012 49.51141259610253),dead8bd597b249d6925d6d95509c86a5,KiTa Zwickauer Weg,Öffnungszeiten: Mo-Fr 7:00-17:15 Evangelische Tageseinrichtung für Kinder,Mannheim,Zwickauer Weg 22,68309,,,CC0-1.0,
MRN_Refill_4326_Point.54,POINT (8.706388859407227 49.41184375873387),b4ab3b5c9c454952a3aef736f78a3591,STA Travel Heidelberg,Öffnungszeiten Mo-Fr 10:00-19:00 Sa 10:00-17:00,Heidelberg,Hauptstr. 139,69117,,,CC0-1.0,
MRN_Refill_4326_Point.55,POINT (8.352827275336175 49.631842439822776),91ef335b58a64059b6606d8357366e4b,Café Fritzi's Manufakturei,Öffnungszeiten Di-Fr 8:00-18:00 Sa 8:00-14:00,Worms,Gewerbeschulstraße 14,67549,,,CC0-1.0,
MRN_Refill_4326_Point.56,POINT (8.203179206793745 49.12082978017667),0968f1e5479443bdb486f6ce30acddc4,VR Bank Südliche Weinstraße-Wasgau eG,Öffnungszeiten Mo;Do 9:00-12:00 Di;Fr 14:00-16:00 Wir sind barrierefrei.,Herxheim-Hayna,Hauptstraße 121 - 123,76863,,,CC0-1.0,
MRN_Refill_4326_Point.57,POINT (8.366926558486618 49.62942924798905),f7860106519c4af8b4dbb8ebb974e4c1,Nibelungenmuseum Worms,Öffnungszeiten Di-Fr 10:00-17:00 Sa;So;FT 10:00-18:00,Worms,Fischerpförtchen 10,67547,,,CC0-1.0,
MRN_Refill_4326_Point.58,POINT (8.735418491407959 49.282193318606446),b4e22d8e119f439d8e86781a8af90f8a,Gemeinde Dielheim,Öffnungszeiten Mo-Fr 08:00-12:00  Wir sind barrierefrei.,Dielheim,Rathausstr. 3,69234,,,CC0-1.0,
MRN_Refill_4326_Point.59,POINT (8.674476104171237 49.362366180570035),ff30e4ae70e541dc949b3a5d099349df,AVR GewerbeService GmbH,Öffnungszeiten Mo-Fr 07:00-12.00;12.30-16.00,Heidelberg,Hatschekstraße 15,69126,,,CC0-1.0,
MRN_Refill_4326_Point.60,POINT (8.683118684535435 49.24504878895593),7f48b551ef024169b572a5ed27a101f1,Gemeindeverwaltung Malsch,Öffnungszeiten Mo 7:30-18:00 Di-Fr 7:30-12:30 Wir sind barrierefrei.,Malsch,Kirchberg 10,69254,,,CC0-1.0,
MRN_Refill_4326_Point.61,POINT (8.448330512479101 49.48116218181381),e5307b710724499cae99c317e8c28677,Bloom's Friseur Bismarckstraße,Öffnungszeiten: Mo-Fr 9:00-19:30 Sa 09:00-18:00,Ludwigshafen,Bismarckstraße 52,67059,,,CC0-1.0,
MRN_Refill_4326_Point.62,POINT (8.877049269563075 49.23929549252581),6e4e22d0d92f491cab792eb13d50d72d,AVR UmweltService GmbH,Öffnungszeiten Mo-Do 8:00-17:00 Fr 8:00-16:00,Sinsheim,Dietmar-Hopp-Str. 8,74889,,,CC0-1.0,
MRN_Refill_4326_Point.63,POINT (8.475676974503173 49.49669808125901),4d3b1e7dd1974891bd6901e8978e6599,L'art pour l'art,Ein Ort für das Schöne und Individuelle! Fernab des Mainstreams findest Du bei uns Kleinmöbel und Home Accessoires. Ausgefallene Mode und Taschen. Handgedruckte Poster und Prints. Naturkosmetik und Delikatessen,Mannheim; Deutschland,Lange Rötterstraße 4,68167,mail@lart-pour-lart.net,,CC0-1.0,0174 5924673
MRN_Refill_4326_Point.64,POINT (8.47201911195741 49.466138793838276),73f4409e3720406caae3c3a699a94b47,Jugendtreff Lindenhof,Platz und Jugendtreff Mo;Mi 14:00-18:00 Di;Do 14:00-20:00,Mannheim,Pfalzplatz 29,68163,,,CC0-1.0,
MRN_Refill_4326_Point.65,POINT (8.532857647413786 49.42936466048908),c9222aa846af4cdfb581eb5e01de8f6e,Nachbarschaftshaus Rheinau,Haus für die Nachbarschaft Mo-Do 15:00-21:00 Fr 15:00-18:00,Mannheim,Rheinauer Ring 101,68219,,,CC0-1.0,
MRN_Refill_4326_Point.66,POINT (8.465517940216474 49.48635619575454),bb858de592fa459685d58770b0c16db8,Stadtbibliothek Mannheim,Bücher für alle Öffnungszeiten Di-Fr 10:00-19:00 Sa 10:00-15:00  Wir sind barrierefrei.,Mannheim,N1 1,68161,stadtbibliothek.zentralbibliothek@mannheim.de,,CC0-1.0,0621 293-8935
MRN_Refill_4326_Point.67,POINT (8.474689837766201 49.48061149077518),6736fe9ce2eb43efb7038cce062adab2,Der Zetzsche,Normaler Friseur. Nicht besonders nachhaltig,Mannheim,Schwetzinger Straße 32,68165,,,CC0-1.0,
MRN_Refill_4326_Point.68,POINT (8.361501204018248 49.62954479252433),de0f1b1af3dd43a689c00b4031e3c966,Tourist Information Worms,Öffnungszeiten ab November:   Mo-Fr 9:00-17:00 Mo-Fr 9:00-18:00 Uhr Sa;So;FT 10:00-14:00* nach Ostern,Worms,Neumarkt 14,67547,,,CC0-1.0,
MRN_Refill_4326_Point.69,POINT (8.567517990510686 49.39047518623549),7f4edbd4929342b8af22c3c27b5ee69c,Firma An- und Verkauf Ochs,Öffnungszeiten Mo-Fr 15:00-18:30 Sa 10:00-14:00,Schwetzingen,Mannheimer Str. 51 +53,68723,,,CC0-1.0,
MRN_Refill_4326_Point.70,POINT (8.167622419152233 49.22178699598731),2ba2e5f9c5be4148998af09df360a7ce,De' Bäcker Becker,Bäckerei mit Sitzgelegenheit,Bornheim,Hauptstraße  65,76879,info@de-baecker-becker.de,,CC0-1.0,06348/8210
MRN_Refill_4326_Point.71,POINT (8.470861403490817 49.480051412005004),18a8d8337dba4104a29a75c17c3154e9,Frauenbuchladen Xanthippe,Ein Ort abseits der Hektik bietet individuelle Beratung hat Atmosphäre voller Bücher die Frauen interessieren Öffnungszeiten: Mo-Fr 10:00-18.30 Sa 10:00-16.00,Mannheim; Deutschland,T 3 4,68161,info@frauenbuchladen-xanthippe.de,,CC0-1.0,0621 / 21663
MRN_Refill_4326_Point.72,POINT (8.467235978910344 49.48959098173752),2122378645e74e698458c355da568d2c,Bloom's Friseur,Friseur nicht besonders nachhaltig Öffnungszeiten Mo-Mi 9:00-20:00 Do-Fr 9:00-21:00 Sa 9:00-19:00,Mannheim,C 1 8,68159,,,CC0-1.0,
MRN_Refill_4326_Point.73,POINT (8.467235978910344 49.48959098173752),6d832fed3fa34943a3ec9035d1276a91,Bloom's Friseur,Haare schneiden nicht besonders nachhaltig,Mannheim,N 7 8,68161,,,CC0-1.0,
MRN_Refill_4326_Point.74,POINT (8.800154528021885 49.393064398035904),de7fa8aaac7e45218ab164032a1f91fd,Wahlkreisbüro MdL Hermino Katzenstein (B'90/Grüne),Öffnungszeiten Mo-Fr 9:30-15:00,Neckargemünd,Hauptstraße 20,69151,,,CC0-1.0,
MRN_Refill_4326_Point.75,POINT (8.68117156842778 49.39866003086728),cf786e462d9f4d2da04cdb1ba08293df,l'Armadio Designer Secondhand,Öffnungszeiten: Mi-Fr 11:00-18:00 Sa 11:00-13:00,Heidelberg,Czernyring 48,69126,,,CC0-1.0,
MRN_Refill_4326_Point.76,POINT (8.76940819843179 49.41560719135013),dcb7e44f24464a14812e2d76aec20d8b,Trinkwasserbrunnen Am Steinbruch,Öffnungszeiten: immer geöffnet,Heidelberg,Kleingemünder Str 0,69118,,,CC0-1.0,
MRN_Refill_4326_Point.77,POINT (8.469616187955074 49.47276590367442),ae08a01063284d4f921e697195022826,Zahnarztpraxis Dr. Carola Wißmeier,Refill Station,Mannheim,Meerfeldstr. 61,68163,,,CC0-1.0,
MRN_Refill_4326_Point.78,POINT (8.455025976735644 49.47850071800803),c163703a9c374669b9c9137d81daee7f,Erste Reserve Personalservice Spreen GmbH,Öffnungszeiten Mo-Fr 8:00-17:00,Ludwigshafen,Walzmühlstraße 65,67061,,,CC0-1.0,
MRN_Refill_4326_Point.79,POINT (8.433712640979193 49.31820738097569),66e5ab835a064ee48f9c368e3bfa69e8,Bloom's Friseur,Öffnungszeiten: Mo-Mi 9:00-18:00 Do-Fr 9:00-20:00 Sa 8:00-19:00,Speyer,Wormser Straße 50,67346,,,CC0-1.0,
MRN_Refill_4326_Point.80,POINT (8.65380993515896 49.59032569992837),9b3ed596a8524b5ba1c5d3afe7ac85b1,Optik Riede,Öffnungszeiten Mo-Fr 8:30-13:00;14:30-18:00 Sa 8:30-13:00,Hemsbach,Bachgasse 49,69502,,,CC0-1.0,
MRN_Refill_4326_Point.81,POINT (8.37242517078874 49.387298193474905),3e262c6dcdea41af942ba65206ae9bf6,Stadtbücherei Schifferstadt,Öffnungszeiten: Mo;Mi;Do 15:00-18:00 Di 15:00-19:00 Mi 9:00-12:00 Fr 9:00-16:00,Schifferstadt,Rehbachstrasse 2,67105,,,CC0-1.0,
MRN_Refill_4326_Point.82,POINT (8.35932316647811 49.62989347969643),b64c35e766ed4a62aa07f5744c947c5e,City- und Touristenseelsorge,Refill Station,Worms,Domplatz 3,67547,,,CC0-1.0,
MRN_Refill_4326_Point.83,POINT (8.43239098248649 49.317141915353545),c46f390bcf994edbabed4c9730e5b612,Wonderpots Speyer GmbH,Öffnungszeiten Mo-Do 11:00-19:00 Fr;Sa 10:00-20:00 So;FT 12:00-19:00,Speyer,Roßmarktstraße 36,67346,,,CC0-1.0,
MRN_Refill_4326_Point.84,POINT (8.668829886554196 49.55065088325676),9a1c108770ac48f7a478b94581e3a5ad,Stadtbibliothek Weinheim,Öffnungszeiten: Di;Mi;Fr 10:00-18:00 Do 10:00-19:00 Sa 10:00-14:00,Weinheim,Luisenstraße 5/1,69469,bibliothek@weinheim.de,,CC0-1.0,06201 905610
MRN_Refill_4326_Point.85,POINT (8.70420277524004 49.41192426691387),70cbd785273d45b4bf5b1ccd3a4625c6,GOODsHOUSE,Kaufhaus für grünes Design (nachhaltige Kleidung. Accessoires. Haushaltsgegenstände. Wohntextilien) Im Hof. Durchgang neben Gino’s,Heidelberg, 113a,69117,post@goodshouse-hd.de,,CC0-1.0,0049-6221-659687
MRN_Refill_4326_Point.86,POINT (8.24199915316049 49.40224681487412),b6a4d7eb9345475cb49d17bbf2b98e2a,Scheune.Space,co-working Space,Meckenheim,Haßlocher Straße,67149,,Mo-Fr 09:00-17:00,CC0-1.0,632696560
MRN_Refill_4326_Point.87,POINT (8.1662864276051 49.46012959790422),447dd289939c410cadd7abffeb549e20,Weltladen Bad Dürkheim,Öffnungszeiten Mo 14.00-18.00 Di-Fr 10.00-18.00 Sa 10.00-13.00,Bad Dürkheim,Römerstr. 17,67098,,,CC0-1.0,
MRN_Refill_4326_Point.88,POINT (8.471400778960158 49.45511424422968),efd93cd7ff104c88a157ae2a3a161a04,Stadtökologisches Zentrum Mannheim,HHier werden Aspekte der Beschäftigungsförderung des Umweltschutzes und der Umweltpädagogik vereint. Stadtökologische Seminare Naturerlebnisangebote für Kinder sowie umweltpädagogische Kreativangebote für Groß und Klein sollen das Umweltverständnis durch Erlebnisorientierung fördern. Das durch die Stadt Mannheim geförderte Stadtökologische Zentrum liegt idyllisch direkt am Stollenwörthweiher in MA-Niederfeld.,68305,Alberichstraße 98b,Mannheim ,c.detmers@gemeinschaftswerk-mannheim.de,,CC0-1.0,0171 8327016
